iterations,0,1,2,3,4,5,6,7,8,9,10
6082,0.397562973,0.437346014,0.162005282,0.493816804,0.520541679,0.366949648,0.994959516,0.9846945,1.00783385,1.00274171,0.242768486
6083,0.397079807,0.437200761,0.167045745,0.497529256,0.520442155,0.372394352,0.991560024,0.984088732,1.006541703,1.005455041,0.242946959
6084,0.397469192,0.437458197,0.165477507,0.491669953,0.518964379,0.373255878,0.990008247,0.981056906,1.002759352,1.006954469,0.241805784
6085,0.397469192,0.437458197,0.165477507,0.491669953,0.518964379,0.373255878,0.990008247,0.981056906,1.002759352,1.006954469,0.241805784
6086,0.397098898,0.436486683,0.166491467,0.491792348,0.517331635,0.371810788,0.989841954,0.982428504,1.008606083,1.005137993,0.239739089
6087,0.398711041,0.437247615,0.165766462,0.492209753,0.514039887,0.372565507,0.98797752,0.978482843,1.009366805,1.008280249,0.239111403
6088,0.399387602,0.437039536,0.165520372,0.492455668,0.516175012,0.373856161,0.984010426,0.980711241,1.005868352,1.009733803,0.238636554
6089,0.399387602,0.437039536,0.165520372,0.492455668,0.516175012,0.373856161,0.984010426,0.980711241,1.005868352,1.009733803,0.238636554
6090,0.400444853,0.437441673,0.165505883,0.493047123,0.519085662,0.37980295,0.983808104,0.978437635,1.008594996,1.008846687,0.239789354
6091,0.400998651,0.437087534,0.160876172,0.492326916,0.522055383,0.374985484,0.983737189,0.974944655,1.010786503,1.013545488,0.242491944
6092,0.401269838,0.435506455,0.158557631,0.492946925,0.525215256,0.373913327,0.985675744,0.971247373,1.010124401,1.015229709,0.245815342
6093,0.40097236,0.435192371,0.160991768,0.49590758,0.525485658,0.380090827,0.988502233,0.970383518,1.009227504,1.016139984,0.246597376
6094,0.399449508,0.435472074,0.155875184,0.494200988,0.526291544,0.382115596,0.98705624,0.969955721,1.012154068,1.016289399,0.247278054
6095,0.399406845,0.4349602,0.158091365,0.490867986,0.526804278,0.382718073,0.984910581,0.970837698,1.010076757,1.014894848,0.24613619
6096,0.399002026,0.435473774,0.156944546,0.492265245,0.526538398,0.384836155,0.983511373,0.977255948,1.008803101,1.016581637,0.248212188
6097,0.399002026,0.435473774,0.156944546,0.492265245,0.526538398,0.384836155,0.983511373,0.977255948,1.008803101,1.016581637,0.248212188
6098,0.398149646,0.436170015,0.157890137,0.496599471,0.522774135,0.385224689,0.981346933,0.979883162,1.007949223,1.015061201,0.249868604
6099,0.398810243,0.435782916,0.158735779,0.500884405,0.524236677,0.384205913,0.976531657,0.984186434,1.004268762,1.016323632,0.245674788
6100,0.398810243,0.435782916,0.158735779,0.500884405,0.524236677,0.384205913,0.976531657,0.984186434,1.004268762,1.016323632,0.245674788
6101,0.397267707,0.436319193,0.162706598,0.506573001,0.523303417,0.385886912,0.976491977,0.980180828,1.002909038,1.020295597,0.244746012
6102,0.397817121,0.436090586,0.166256928,0.506616099,0.521414256,0.386364275,0.975803521,0.980580627,1.001537106,1.019470661,0.245769439
6103,0.397817121,0.436090586,0.166256928,0.506616099,0.521414256,0.386364275,0.975803521,0.980580627,1.001537106,1.019470661,0.245769439
6104,0.397482704,0.435794178,0.169954832,0.506944749,0.521054988,0.385544472,0.981626205,0.977996753,1.000251418,1.019113023,0.247632566
6105,0.397482704,0.435794178,0.169954832,0.506944749,0.521054988,0.385544472,0.981626205,0.977996753,1.000251418,1.019113023,0.247632566
6106,0.398325877,0.435507296,0.166212871,0.503076304,0.522522562,0.381942058,0.98852715,0.974850418,1.001241329,1.019420827,0.249462311
6107,0.398325877,0.435507296,0.166212871,0.503076304,0.522522562,0.381942058,0.98852715,0.974850418,1.001241329,1.019420827,0.249462311
6108,0.398275566,0.435273689,0.167930406,0.50136004,0.526099795,0.380248681,0.990037175,0.973480901,1.003777039,1.015128675,0.246728565
6109,0.398241426,0.435245822,0.16516411,0.498594007,0.524017641,0.377318177,0.99090198,0.9726225,1.007820422,1.012426635,0.246061937
6110,0.397831568,0.434199967,0.169550227,0.493572463,0.524887846,0.386203491,0.991498931,0.975008374,1.006463527,1.010505789,0.242673517
6111,0.397161426,0.433650068,0.167622106,0.494520858,0.521433893,0.386932449,0.98957868,0.976536708,1.008486619,1.010077865,0.240839319
6112,0.396833907,0.433506054,0.163011759,0.493339175,0.521931204,0.388511676,0.98694925,0.979078685,1.002681674,1.014146229,0.238659952
6113,0.396833907,0.433506054,0.163011759,0.493339175,0.521931204,0.388511676,0.98694925,0.979078685,1.002681674,1.014146229,0.238659952
6114,0.396651733,0.43339829,0.16464692,0.494947996,0.5203637,0.389582976,0.986958526,0.979323158,1.005927413,1.017931319,0.241407719
6115,0.39723253,0.433610929,0.16341105,0.496433701,0.521913727,0.393841817,0.98651064,0.977956255,1.00735774,1.015485477,0.240564009
6116,0.39723253,0.433610929,0.16341105,0.496433701,0.521913727,0.393841817,0.98651064,0.977956255,1.00735774,1.015485477,0.240564009
6117,0.3986158,0.433513241,0.160011681,0.495330078,0.5254385,0.395430062,0.987497155,0.975034924,1.007072642,1.017439961,0.239438303
6118,0.400528485,0.433193165,0.15954088,0.498599428,0.522827823,0.40248429,0.987809868,0.977367018,1.003306766,1.016414178,0.240314648
6119,0.400528485,0.433193165,0.15954088,0.498599428,0.522827823,0.40248429,0.987809868,0.977367018,1.003306766,1.016414178,0.240314648
6120,0.400774968,0.432010962,0.160042288,0.497743066,0.520743053,0.39766141,0.98883239,0.975707272,1.001127373,1.021148676,0.241098909
6121,0.400774968,0.432010962,0.160042288,0.497743066,0.520743053,0.39766141,0.98883239,0.975707272,1.001127373,1.021148676,0.241098909
6122,0.400563048,0.431537515,0.156822112,0.49556967,0.520559207,0.392899938,0.990539186,0.978023667,0.999368003,1.019240551,0.24275528
6123,0.400563048,0.431537515,0.156822112,0.49556967,0.520559207,0.392899938,0.990539186,0.978023667,0.999368003,1.019240551,0.24275528
6124,0.400563048,0.431537515,0.156822112,0.49556967,0.520559207,0.392899938,0.990539186,0.978023667,0.999368003,1.019240551,0.24275528
6125,0.399798034,0.433080508,0.155808536,0.496242413,0.525910865,0.3991128,0.986635083,0.979864013,0.998389607,1.021733945,0.242815863
6126,0.399798034,0.433080508,0.155808536,0.496242413,0.525910865,0.3991128,0.986635083,0.979864013,0.998389607,1.021733945,0.242815863
6127,0.400507578,0.432162445,0.153760796,0.495931449,0.525302983,0.401856019,0.985663144,0.981823238,1.004524772,1.024618412,0.246932344
6128,0.400449359,0.432387824,0.15254963,0.494710319,0.521511685,0.398643817,0.986922198,0.984971011,1.001229043,1.028395206,0.244582636
6129,0.400449359,0.432387824,0.15254963,0.494710319,0.521511685,0.398643817,0.986922198,0.984971011,1.001229043,1.028395206,0.244582636
